gtpath, predpath, gt numsyms, pred numsyms, SEC (symbol edit cost), SECR (SEC / total numsyms)
/Users/gregc/Documents/test/greg_results/gt/334_.kern, /Users/gregc/Documents/test/greg_results/pred/334_.kern, 196, 245, 376, 0.8526077097505669
/Users/gregc/Documents/test/greg_results/gt/371_.kern, /Users/gregc/Documents/test/greg_results/pred/371_.kern, 130, 120, 152, 0.608
/Users/gregc/Documents/test/greg_results/gt/128_.kern, /Users/gregc/Documents/test/greg_results/pred/128_.kern, 144, 161, 224, 0.7344262295081967
/Users/gregc/Documents/test/greg_results/gt/291_.kern, /Users/gregc/Documents/test/greg_results/pred/291_.kern, 254, 195, 430, 0.9576837416481069
/Users/gregc/Documents/test/greg_results/gt/87_.kern, /Users/gregc/Documents/test/greg_results/pred/87_.kern, 290, 177, 383, 0.8201284796573876
/Users/gregc/Documents/test/greg_results/gt/229_.kern, /Users/gregc/Documents/test/greg_results/pred/229_.kern, 198, 204, 153, 0.3805970149253731
/Users/gregc/Documents/test/greg_results/gt/190_.kern, /Users/gregc/Documents/test/greg_results/pred/190_.kern, 337, 294, 538, 0.8526148969889065
/Users/gregc/Documents/test/greg_results/gt/504_.kern, /Users/gregc/Documents/test/greg_results/pred/504_.kern, 286, 282, 325, 0.5721830985915493
/Users/gregc/Documents/test/greg_results/gt/251_.kern, /Users/gregc/Documents/test/greg_results/pred/251_.kern, 399, 386, 133, 0.16942675159235668
/Users/gregc/Documents/test/greg_results/gt/214_.kern, /Users/gregc/Documents/test/greg_results/pred/214_.kern, 283, 274, 49, 0.08797127468581688
/Users/gregc/Documents/test/greg_results/gt/150_.kern, /Users/gregc/Documents/test/greg_results/pred/150_.kern, 289, 286, 41, 0.07130434782608695
/Users/gregc/Documents/test/greg_results/gt/115_.kern, /Users/gregc/Documents/test/greg_results/pred/115_.kern, 448, 381, 587, 0.7080820265379976
/Users/gregc/Documents/test/greg_results/gt/47_.kern, /Users/gregc/Documents/test/greg_results/pred/47_.kern, 339, 337, 408, 0.6035502958579881
/Users/gregc/Documents/test/greg_results/gt/309_.kern, /Users/gregc/Documents/test/greg_results/pred/309_.kern, 406, 312, 634, 0.883008356545961
/Users/gregc/Documents/test/greg_results/gt/424_.kern, /Users/gregc/Documents/test/greg_results/pred/424_.kern, 228, 227, 123, 0.2703296703296703
/Users/gregc/Documents/test/greg_results/gt/461_.kern, /Users/gregc/Documents/test/greg_results/pred/461_.kern, 253, 215, 383, 0.8183760683760684
/Users/gregc/Documents/test/greg_results/gt/83_.kern, /Users/gregc/Documents/test/greg_results/pred/83_.kern, 194, 177, 202, 0.5444743935309974
/Users/gregc/Documents/test/greg_results/gt/268_.kern, /Users/gregc/Documents/test/greg_results/pred/268_.kern, 516, 512, 671, 0.6527237354085603
/Users/gregc/Documents/test/greg_results/gt/194_.kern, /Users/gregc/Documents/test/greg_results/pred/194_.kern, 165, 166, 241, 0.7280966767371602
/Users/gregc/Documents/test/greg_results/gt/169_.kern, /Users/gregc/Documents/test/greg_results/pred/169_.kern, 300, 194, 363, 0.7348178137651822
/Users/gregc/Documents/test/greg_results/gt/295_.kern, /Users/gregc/Documents/test/greg_results/pred/295_.kern, 314, 333, 594, 0.9180834621329211
/Users/gregc/Documents/test/greg_results/gt/388_.kern, /Users/gregc/Documents/test/greg_results/pred/388_.kern, 326, 312, 460, 0.7210031347962382
/Users/gregc/Documents/test/greg_results/gt/330_.kern, /Users/gregc/Documents/test/greg_results/pred/330_.kern, 189, 172, 290, 0.8033240997229917
/Users/gregc/Documents/test/greg_results/gt/375_.kern, /Users/gregc/Documents/test/greg_results/pred/375_.kern, 214, 199, 347, 0.8401937046004843
/Users/gregc/Documents/test/greg_results/gt/458_.kern, /Users/gregc/Documents/test/greg_results/pred/458_.kern, 302, 216, 304, 0.5868725868725869
/Users/gregc/Documents/test/greg_results/gt/348_.kern, /Users/gregc/Documents/test/greg_results/pred/348_.kern, 271, 245, 450, 0.872093023255814
/Users/gregc/Documents/test/greg_results/gt/420_.kern, /Users/gregc/Documents/test/greg_results/pred/420_.kern, 91, 105, 127, 0.6479591836734694
/Users/gregc/Documents/test/greg_results/gt/498_.kern, /Users/gregc/Documents/test/greg_results/pred/498_.kern, 274, 263, 288, 0.5363128491620112
/Users/gregc/Documents/test/greg_results/gt/154_.kern, /Users/gregc/Documents/test/greg_results/pred/154_.kern, 236, 205, 227, 0.5147392290249433
/Users/gregc/Documents/test/greg_results/gt/43_.kern, /Users/gregc/Documents/test/greg_results/pred/43_.kern, 316, 243, 426, 0.7620751341681574
/Users/gregc/Documents/test/greg_results/gt/255_.kern, /Users/gregc/Documents/test/greg_results/pred/255_.kern, 223, 221, 75, 0.16891891891891891
/Users/gregc/Documents/test/greg_results/gt/391_.kern, /Users/gregc/Documents/test/greg_results/pred/391_.kern, 188, 186, 210, 0.5614973262032086
/Users/gregc/Documents/test/greg_results/gt/404_.kern, /Users/gregc/Documents/test/greg_results/pred/404_.kern, 155, 152, 115, 0.3745928338762215
/Users/gregc/Documents/test/greg_results/gt/441_.kern, /Users/gregc/Documents/test/greg_results/pred/441_.kern, 260, 0, 260, 1.0
/Users/gregc/Documents/test/greg_results/gt/329_.kern, /Users/gregc/Documents/test/greg_results/pred/329_.kern, 273, 278, 91, 0.16515426497277677
/Users/gregc/Documents/test/greg_results/gt/519_.kern, /Users/gregc/Documents/test/greg_results/pred/519_.kern, 302, 290, 158, 0.2668918918918919
/Users/gregc/Documents/test/greg_results/gt/271_.kern, /Users/gregc/Documents/test/greg_results/pred/271_.kern, 298, 207, 382, 0.7564356435643564
/Users/gregc/Documents/test/greg_results/gt/234_.kern, /Users/gregc/Documents/test/greg_results/pred/234_.kern, 356, 372, 591, 0.8118131868131868
/Users/gregc/Documents/test/greg_results/gt/22_.kern, /Users/gregc/Documents/test/greg_results/pred/22_.kern, 268, 257, 348, 0.6628571428571428
/Users/gregc/Documents/test/greg_results/gt/170_.kern, /Users/gregc/Documents/test/greg_results/pred/170_.kern, 329, 304, 565, 0.8925750394944708
